regiao_im,comentarios,avaliacoes_ponderadas,promotores_%,neutros_%,detratores_%,nps_tradicional,sentimento_positivo_%,sentimento_negativo_%,score_sentimento,nps_ajustado,divergencia_%,baixa_conf_sent_%,baixa_conf_cat_%
Litoral,11844.0,11847.0,81.6578036633747,10.95636025998143,7.3858360766438755,74.27196758673082,71.44424748881573,13.7165527137672,57.72769477504853,69.30868574322614,20.339412360688957,31.678486997635936,31.44208037825059
Interior,25003.0,25008.0,79.97840690978887,11.792226487523992,8.22936660268714,71.74904030710174,68.37012156110045,15.599008317338454,52.771113243761995,66.05566218809982,21.877374715034197,33.23601167859857,32.00815902091749
RMSP,25211.0,25248.0,79.24588086185045,11.719740177439796,9.034378960709759,70.21150190114069,68.5361216730038,16.24683143219265,52.289290240811155,64.83483840304183,21.141565189798104,31.208599420887705,29.51886081472373
RJ,7892.0,7904.0,79.37753036437248,12.5,8.12246963562753,71.25506072874495,64.22064777327935,16.751012145748987,47.469635627530366,64.11943319838058,24.467815509376585,37.67105930055752,30.423213380638618
DF,3456.0,3456.0,76.9386574074074,14.612268518518517,8.449074074074074,68.48958333333333,64.0625,16.493055555555554,47.56944444444444,62.21354166666666,24.94212962962963,40.133101851851855,29.484953703703702
Capital,54540.0,54592.0,76.2071365767878,13.163100820633058,10.629762602579133,65.57737397420867,64.13393903868698,18.43493552168816,45.699003516998815,59.61386283704571,23.104143747708104,34.10891089108911,30.414374770810415
GO,395.0,395.0,75.44303797468355,13.670886075949367,10.886075949367088,64.55696202531647,59.74683544303797,21.772151898734176,37.9746835443038,56.582278481012665,26.329113924050635,40.50632911392405,33.67088607594937
