tipo_gestao,comentarios,avaliacoes_ponderadas,promotores_%,neutros_%,detratores_%,nps_tradicional,sentimento_positivo_%,sentimento_negativo_%,score_sentimento,nps_ajustado,divergencia_%,baixa_conf_sent_%,baixa_conf_cat_%
Sem flag,401.0,402.0,85.57213930348259,6.218905472636816,8.208955223880597,77.363184079602,79.35323383084577,12.686567164179104,66.66666666666666,74.15422885572139,14.962593516209477,22.194513715710723,29.925187032418954
Regular,98597.0,98673.0,79.21417206327972,12.055982892989977,8.729845043730302,70.48432701954941,67.62234856546371,16.157408814974712,51.464939750488995,64.77851083883128,21.96415712445612,33.17443735610617,30.76462772700995
Tocadora/Germinare,29343.0,29375.0,74.92765957446808,13.678297872340424,11.39404255319149,63.53361702127659,62.50212765957447,19.32936170212766,43.17276595744681,57.42536170212766,23.82510309102682,34.9487100841768,30.184371059537195
